Lines,Lon,VehicleNumber,Time,Lat
192,20.9958722,1034,2024-02-13 20:05:53,52.1884846
192,20.9960667,1034,2024-02-13 19:29:41,52.1880439
192,20.9956321,1034,2024-02-13 19:42:23,52.1871756
192,20.9955809,1034,2024-02-13 19:42:11,52.1871549
192,20.9960714,1034,2024-02-13 19:24:43,52.1881416
192,21.0134804,1034,2024-02-13 19:20:42,52.1891061
192,20.9960751,1034,2024-02-13 19:25:28,52.1880541
192,20.996059,1034,2024-02-13 19:33:12,52.188007
192,20.9958815,1034,2024-02-13 20:05:34,52.1884854
192,20.9956111,1034,2024-02-13 19:41:32,52.1872667
192,20.995852,1034,2024-02-13 20:05:05,52.188484
192,20.9960737,1034,2024-02-13 19:25:59,52.1880382
192,20.9957859,1034,2024-02-13 19:39:02,52.1875322
192,20.9958709,1034,2024-02-13 19:47:36,52.1884929
192,20.9960242,1034,2024-02-13 19:30:46,52.1880056
192,20.9960297,1034,2024-02-13 19:31:11,52.1879942
192,20.995882,1034,2024-02-13 20:02:58,52.188473
192,20.9960769,1034,2024-02-13 19:25:50,52.1880417
192,20.996069,1034,2024-02-13 19:34:18,52.188023
192,20.995893,1034,2024-02-13 19:45:34,52.188503
192,20.9959022,1034,2024-02-13 20:01:21,52.1884795
192,20.9959106,1034,2024-02-13 19:50:51,52.1884752
192,20.9958906,1034,2024-02-13 20:01:56,52.1884846
192,20.995873,1034,2024-02-13 20:03:44,52.188484
192,21.0149646,1034,2024-02-13 19:20:32,52.1891146
192,20.9958781,1034,2024-02-13 20:05:28,52.1884852
192,20.995783,1034,2024-02-13 19:36:24,52.187721
192,20.995853,1034,2024-02-13 19:46:38,52.188499
192,20.996088,1034,2024-02-13 19:35:04,52.188023
192,20.9958756,1034,2024-02-13 19:43:08,52.1870704
192,20.9960626,1034,2024-02-13 19:26:24,52.1880235
192,20.995861,1034,2024-02-13 19:48:19,52.188496
192,20.995873,1034,2024-02-13 20:05:51,52.1884847
192,20.9959107,1034,2024-02-13 19:50:28,52.1884767
192,20.995857,1034,2024-02-13 19:48:11,52.188488
192,20.9975412,1034,2024-02-13 19:44:27,52.1868064
192,20.9959247,1034,2024-02-13 19:51:27,52.1884827
192,20.995853,1034,2024-02-13 19:46:50,52.188496
192,20.9957872,1034,2024-02-13 19:39:49,52.1875179
192,20.9960619,1034,2024-02-13 19:26:58,52.1880367
192,20.995869,1034,2024-02-13 19:47:10,52.188496
192,20.9960212,1034,2024-02-13 19:30:58,52.1880009
192,20.9960791,1034,2024-02-13 19:29:16,52.1880542
192,20.995859,1034,2024-02-13 19:46:25,52.188499
192,20.9957917,1034,2024-02-13 19:39:26,52.1875216
192,20.9957612,1034,2024-02-13 19:36:53,52.1877154
192,21.0090466,1034,2024-02-13 19:21:38,52.1890699
192,20.9960769,1034,2024-02-13 19:29:29,52.1880522
192,20.9959134,1034,2024-02-13 19:52:00,52.1884914
192,20.9963362,1034,2024-02-13 19:44:05,52.1868156
192,21.0077569,1034,2024-02-13 19:21:48,52.1890844
192,20.995888,1034,2024-02-13 19:45:49,52.188503
192,20.995869,1034,2024-02-13 19:48:56,52.188492
192,20.9958966,1034,2024-02-13 19:45:16,52.1885024
192,20.9958849,1034,2024-02-13 19:57:53,52.1884742
192,20.996086,1034,2024-02-13 19:35:27,52.188026
192,20.9961706,1034,2024-02-13 19:24:19,52.1884582
