Lines,Lon,VehicleNumber,Time,Lat
179,21.068539,9312,2024-02-13 20:09:26,52.128914
179,21.021128,9312,2024-02-13 19:29:37,52.158646
179,21.025896,9312,2024-02-13 19:42:17,52.142468
179,21.02589,9312,2024-02-13 19:42:08,52.142464
179,21.036877,9312,2024-02-13 19:24:40,52.162003
179,21.032692,9312,2024-02-13 20:57:20,52.149376
179,21.033663,9312,2024-02-13 20:51:18,52.143986
179,21.053841,9312,2024-02-13 20:34:57,52.133797
179,21.036808,9312,2024-02-13 19:20:35,52.162003
179,21.068663,9312,2024-02-13 20:27:13,52.128849
179,21.068521,9312,2024-02-13 20:18:30,52.128922
179,21.036898,9312,2024-02-13 19:25:30,52.162029
179,21.068687,9312,2024-02-13 20:30:18,52.128864
179,21.061575,9312,2024-02-13 20:33:03,52.131195
179,21.032221,9312,2024-02-13 19:33:07,52.15469
179,21.068687,9312,2024-02-13 20:30:08,52.128864
179,21.060696,9312,2024-02-13 20:05:37,52.131187
179,21.024673,9312,2024-02-13 19:41:28,52.142574
179,21.056604,9312,2024-02-13 20:43:31,52.152542
179,21.05669,9312,2024-02-13 20:05:03,52.131176
179,21.067173,9312,2024-02-13 20:07:02,52.129829
179,21.068556,9312,2024-02-13 20:11:21,52.128925
179,21.036493,9312,2024-02-13 19:25:59,52.162235
179,21.031794,9312,2024-02-13 19:39:01,52.149029
179,21.043751,9312,2024-02-13 19:47:35,52.148655
179,21.021328,9312,2024-02-13 19:30:42,52.156166
179,21.023136,9312,2024-02-13 19:31:06,52.155819
179,21.032467,9312,2024-02-13 20:51:50,52.143002
179,21.068556,9312,2024-02-13 20:13:38,52.128948
179,21.049761,9312,2024-02-13 20:02:58,52.136955
179,21.050184,9312,2024-02-13 20:36:13,52.137539
179,21.03647,9312,2024-02-13 19:25:44,52.162228
179,21.050564,9312,2024-02-13 20:45:18,52.154964
179,21.068626,9312,2024-02-13 20:23:17,52.128845
179,21.025276,9312,2024-02-13 20:54:48,52.144257
179,21.033709,9312,2024-02-13 20:51:02,52.144012
179,21.068445,9312,2024-02-13 20:16:38,52.12891
179,21.068542,9312,2024-02-13 20:13:06,52.128963
179,21.034113,9312,2024-02-13 19:34:22,52.155853
179,21.068583,9312,2024-02-13 20:24:30,52.128845
179,21.068445,9312,2024-02-13 20:15:31,52.12891
179,21.038284,9312,2024-02-13 19:45:37,52.146126
179,21.054317,9312,2024-02-13 20:01:16,52.138958
179,21.050047,9312,2024-02-13 19:50:49,52.154877
179,21.050732,9312,2024-02-13 20:01:48,52.137817
179,21.068558,9312,2024-02-13 20:10:40,52.128925
179,21.068539,9312,2024-02-13 20:12:10,52.128925
179,21.05385,9312,2024-02-13 20:03:46,52.133675
179,21.032257,9312,2024-02-13 20:56:59,52.149094
179,21.033724,9312,2024-02-13 20:50:53,52.144035
179,21.068445,9312,2024-02-13 20:16:13,52.12891
179,21.036787,9312,2024-02-13 19:20:27,52.161991
179,21.057627,9312,2024-02-13 20:05:21,52.131195
179,21.068645,9312,2024-02-13 20:26:15,52.128841
179,21.068727,9312,2024-02-13 20:28:42,52.128929
179,21.068445,9312,2024-02-13 20:18:00,52.12891
179,21.030268,9312,2024-02-13 20:52:52,52.14222
179,21.03487,9312,2024-02-13 20:58:16,52.150894
179,21.068651,9312,2024-02-13 20:19:25,52.128845
179,21.06855,9312,2024-02-13 20:13:15,52.12896
179,21.037649,9312,2024-02-13 19:36:22,52.152885
179,21.042027,9312,2024-02-13 19:46:38,52.147491
179,21.027201,9312,2024-02-13 20:55:26,52.145664
179,21.068651,9312,2024-02-13 20:19:49,52.12886
179,21.047049,9312,2024-02-13 20:47:00,52.150875
179,21.035118,9312,2024-02-13 19:35:01,52.155781
179,21.06842,9312,2024-02-13 20:07:35,52.129032
179,21.068541,9312,2024-02-13 20:09:10,52.128914
179,21.068615,9312,2024-02-13 20:20:54,52.128853
179,21.025885,9312,2024-02-13 19:43:04,52.142487
179,21.034166,9312,2024-02-13 19:26:23,52.162247
179,21.046501,9312,2024-02-13 19:48:21,52.150249
179,21.057735,9312,2024-02-13 20:43:11,52.151638
179,21.061354,9312,2024-02-13 20:05:45,52.131172
179,21.068748,9312,2024-02-13 20:29:30,52.128887
179,21.024803,9312,2024-02-13 20:53:53,52.14278
179,21.049761,9312,2024-02-13 19:50:25,52.154591
179,21.046471,9312,2024-02-13 19:48:04,52.150246
179,21.034069,9312,2024-02-13 19:44:25,52.144173
179,21.04563,9312,2024-02-13 20:47:40,52.149986
179,21.051617,9312,2024-02-13 19:51:24,52.154537
179,21.042089,9312,2024-02-13 19:46:52,52.147556
179,21.068644,9312,2024-02-13 20:21:51,52.128838
179,21.029375,9312,2024-02-13 19:39:39,52.147346
179,21.030956,9312,2024-02-13 19:26:51,52.162067
179,21.043119,9312,2024-02-13 19:47:13,52.148193
179,21.068665,9312,2024-02-13 20:27:53,52.128853
179,21.026577,9312,2024-02-13 20:55:03,52.145252
179,21.068638,9312,2024-02-13 20:25:35,52.128845
179,21.021959,9312,2024-02-13 19:30:58,52.155766
179,21.065683,9312,2024-02-13 20:39:27,52.142128
179,21.02108,9312,2024-02-13 19:29:16,52.159542
179,21.065987,9312,2024-02-13 20:06:28,52.131107
179,21.068542,9312,2024-02-13 20:11:53,52.128933
179,21.042007,9312,2024-02-13 19:46:17,52.147472
179,21.031246,9312,2024-02-13 19:39:24,52.148586
179,21.0441,9312,2024-02-13 20:48:19,52.14901
179,21.068527,9312,2024-02-13 20:18:16,52.128925
179,21.025055,9312,2024-02-13 20:54:12,52.143749
179,21.035128,9312,2024-02-13 19:36:54,52.151283
179,21.036856,9312,2024-02-13 19:21:33,52.162003
179,21.021114,9312,2024-02-13 19:29:29,52.158665
179,21.042091,9312,2024-02-13 20:48:47,52.147781
179,21.063074,9312,2024-02-13 20:41:18,52.14579
179,21.056204,9312,2024-02-13 19:51:56,52.15255
179,21.025061,9312,2024-02-13 20:54:25,52.143772
179,21.028143,9312,2024-02-13 20:55:34,52.146297
179,21.031771,9312,2024-02-13 19:44:01,52.142136
179,21.036869,9312,2024-02-13 19:21:43,52.16201
179,21.056582,9312,2024-02-13 20:43:42,52.152542
179,21.03904,9312,2024-02-13 19:45:48,52.146317
179,21.027826,9312,2024-02-13 20:53:29,52.142338
179,21.047457,9312,2024-02-13 19:48:50,52.150879
179,21.036743,9312,2024-02-13 19:45:14,52.145828
179,21.062214,9312,2024-02-13 19:57:51,52.141132
179,21.030249,9312,2024-02-13 20:53:05,52.14222
179,21.068623,9312,2024-02-13 20:23:42,52.128849
179,21.035725,9312,2024-02-13 19:35:24,52.155403
179,21.065338,9312,2024-02-13 20:40:20,52.143311
179,21.036879,9312,2024-02-13 19:24:15,52.162003
179,21.03443,9312,2024-02-13 20:50:43,52.144547
179,21.068632,9312,2024-02-13 20:22:49,52.128864
179,21.06856,9312,2024-02-13 20:11:29,52.128925
179,21.060131,9312,2024-02-13 20:42:06,52.148949
179,21.068542,9312,2024-02-13 20:09:57,52.128922
179,21.068638,9312,2024-02-13 20:20:30,52.128849
179,21.032209,9312,2024-02-13 19:26:44,52.162125
179,21.036533,9312,2024-02-13 20:50:10,52.145969
179,21.054703,9312,2024-02-13 20:04:18,52.13306
179,21.058031,9312,2024-02-13 19:59:17,52.13998
179,21.048906,9312,2024-02-13 20:46:32,52.152958
179,21.06875,9312,2024-02-13 20:29:07,52.128891
179,21.0686,9312,2024-02-13 20:24:05,52.128838
