Lines,Lon,VehicleNumber,Time,Lat
714,20.9218695,4332,2024-02-13 20:03:16,52.1965416
714,20.9208106,4332,2024-02-13 19:29:40,52.1971941
714,20.9218591,4332,2024-02-13 19:42:23,52.1965424
714,20.9218564,4332,2024-02-13 19:42:12,52.1965409
714,20.91604,4332,2024-02-13 19:24:42,52.2068784
714,20.9164905,4332,2024-02-13 19:20:43,52.2207427
714,20.9153526,4332,2024-02-13 19:25:29,52.2041222
714,20.9204552,4332,2024-02-13 19:33:14,52.1972717
714,20.921863,4332,2024-02-13 19:41:33,52.196529
714,20.9145746,4332,2024-02-13 19:26:03,52.2008575
714,20.919278,4332,2024-02-13 19:39:03,52.1975346
714,20.9218717,4332,2024-02-13 19:47:36,52.1965702
714,20.9208,4332,2024-02-13 19:30:47,52.1972024
714,20.9205425,4332,2024-02-13 19:31:10,52.1972541
714,20.9218689,4332,2024-02-13 20:03:02,52.1965257
714,20.9148414,4332,2024-02-13 19:25:51,52.2020162
714,20.9201967,4332,2024-02-13 19:34:22,52.1973212
714,20.9218801,4332,2024-02-13 19:45:37,52.1965359
714,20.9218774,4332,2024-02-13 20:01:21,52.196538
714,20.9218695,4332,2024-02-13 19:50:53,52.1965265
714,20.9218657,4332,2024-02-13 20:01:56,52.1965354
714,20.9164896,4332,2024-02-13 19:20:32,52.2207397
714,20.9199162,4332,2024-02-13 19:36:25,52.1974104
714,20.9218584,4332,2024-02-13 19:46:37,52.1965434
714,20.9202042,4332,2024-02-13 19:35:06,52.1973372
714,20.9218719,4332,2024-02-13 19:43:08,52.1965369
714,20.9141352,4332,2024-02-13 19:26:25,52.1998451
714,20.9218971,4332,2024-02-13 19:48:22,52.1965414
714,20.9218606,4332,2024-02-13 19:50:30,52.196526
714,20.9218889,4332,2024-02-13 19:48:12,52.1965472
714,20.9218704,4332,2024-02-13 19:44:29,52.1965411
714,20.9218646,4332,2024-02-13 19:51:27,52.196523
714,20.9218517,4332,2024-02-13 19:46:51,52.1965485
714,20.9195069,4332,2024-02-13 19:39:48,52.1964865
714,20.9179087,4332,2024-02-13 19:26:58,52.1987399
714,20.9218564,4332,2024-02-13 19:47:13,52.1965577
714,20.9207926,4332,2024-02-13 19:30:58,52.1972006
714,20.9214302,4332,2024-02-13 19:29:18,52.1970644
714,20.92186,4332,2024-02-13 19:46:28,52.1965402
714,20.9189284,4332,2024-02-13 19:39:25,52.1974822
714,20.9198635,4332,2024-02-13 19:36:58,52.1974204
714,20.9163964,4332,2024-02-13 19:21:38,52.2204725
714,20.9208099,4332,2024-02-13 19:29:30,52.1971919
714,20.9218574,4332,2024-02-13 19:52:00,52.1965249
714,20.9218739,4332,2024-02-13 19:44:06,52.1965472
714,20.9162332,4332,2024-02-13 19:21:49,52.2199422
714,20.9218764,4332,2024-02-13 19:45:51,52.1965384
714,20.9218917,4332,2024-02-13 19:48:56,52.1965496
714,20.9218812,4332,2024-02-13 19:45:15,52.1965462
714,20.9218506,4332,2024-02-13 19:57:54,52.1965306
714,20.9201655,4332,2024-02-13 19:35:29,52.1973444
714,20.9147022,4332,2024-02-13 19:24:18,52.2081142
714,20.9163385,4332,2024-02-13 19:26:47,52.1991777
714,20.9218472,4332,2024-02-13 19:59:26,52.1965339
714,20.916459,4332,2024-02-13 19:21:05,52.2206645
714,20.9218677,4332,2024-02-13 20:02:18,52.1965387
714,20.9208164,4332,2024-02-13 19:29:51,52.1971944
714,20.9218506,4332,2024-02-13 19:58:39,52.1965444
714,20.9218507,4332,2024-02-13 19:58:51,52.1965467
714,20.9218647,4332,2024-02-13 20:02:07,52.1965391
714,20.921871,4332,2024-02-13 19:44:40,52.1965372
714,20.9201935,4332,2024-02-13 19:33:59,52.197325
714,20.9164826,4332,2024-02-13 19:20:54,52.2207297
714,20.9143717,4332,2024-02-13 19:26:14,52.2001735
714,20.9164609,4332,2024-02-13 19:21:27,52.220667
714,20.9218612,4332,2024-02-13 20:00:21,52.1965267
714,20.9218971,4332,2024-02-13 19:48:33,52.1965377
714,20.9198409,4332,2024-02-13 19:37:32,52.1974281
714,20.9218694,4332,2024-02-13 19:49:32,52.1965422
714,20.9208014,4332,2024-02-13 19:30:14,52.1972032
714,20.9218451,4332,2024-02-13 19:59:13,52.1965427
714,20.921867,4332,2024-02-13 19:57:20,52.1965369
714,20.9209592,4332,2024-02-13 19:40:10,52.1965951
714,20.9208024,4332,2024-02-13 19:30:24,52.1972032
714,20.9134469,4332,2024-02-13 19:23:35,52.2094254
714,20.9218789,4332,2024-02-13 19:42:47,52.196555
