Lines,Lon,VehicleNumber,Time,Lat
134,21.054211,4417,2024-02-13 20:09:31,52.340687
134,21.061449,4417,2024-02-13 19:29:37,52.361919
134,21.061853,4417,2024-02-13 19:42:22,52.361679
134,21.061857,4417,2024-02-13 19:42:12,52.361683
134,21.053749,4417,2024-02-13 19:24:43,52.350548
134,21.004158,4417,2024-02-13 20:57:17,52.290581
134,20.968567,4417,2024-02-13 20:51:17,52.271454
134,20.968204,4417,2024-02-13 20:34:58,52.27179
134,21.053661,4417,2024-02-13 19:20:43,52.340641
134,20.980915,4417,2024-02-13 20:27:14,52.280903
134,21.051819,4417,2024-02-13 20:18:29,52.306416
134,21.053473,4417,2024-02-13 19:25:30,52.355244
134,20.968521,4417,2024-02-13 20:30:18,52.272484
134,20.968231,4417,2024-02-13 20:33:06,52.271809
134,21.061668,4417,2024-02-13 19:33:12,52.361801
134,20.967104,4417,2024-02-13 20:30:09,52.273094
134,21.053961,4417,2024-02-13 20:05:37,52.35297
134,21.061855,4417,2024-02-13 19:41:32,52.361698
134,20.968227,4417,2024-02-13 20:43:32,52.271786
134,21.052856,4417,2024-02-13 20:05:05,52.356827
134,21.054068,4417,2024-02-13 20:07:07,52.34623
134,21.046944,4417,2024-02-13 20:11:21,52.33654
134,21.053207,4417,2024-02-13 19:26:02,52.358261
134,21.061665,4417,2024-02-13 19:39:01,52.361782
134,21.061871,4417,2024-02-13 19:47:31,52.361675
134,21.061445,4417,2024-02-13 19:30:47,52.361904
134,21.0614535,4417,2024-02-13 19:31:11,52.3619177
134,20.965752,4417,2024-02-13 20:51:48,52.27132
134,21.048216,4417,2024-02-13 20:13:41,52.326225
134,21.05942,4417,2024-02-13 20:02:59,52.361786
134,20.968225,4417,2024-02-13 20:36:14,52.271797
134,21.052858,4417,2024-02-13 19:25:50,52.357075
134,20.968245,4417,2024-02-13 20:45:16,52.27179
134,21.013897,4417,2024-02-13 20:23:22,52.29422
134,20.981123,4417,2024-02-13 20:54:50,52.280628
134,20.969028,4417,2024-02-13 20:51:07,52.271763
134,21.050823,4417,2024-02-13 20:16:39,52.314869
134,21.048021,4417,2024-02-13 20:13:09,52.32737
134,21.061659,4417,2024-02-13 19:34:19,52.361786
134,21.005442,4417,2024-02-13 20:24:28,52.2915
134,21.05014,4417,2024-02-13 20:15:32,52.31871
134,21.061861,4417,2024-02-13 19:45:38,52.361683
134,21.061867,4417,2024-02-13 20:01:18,52.361671
134,21.061859,4417,2024-02-13 19:50:49,52.361687
134,21.0618732,4417,2024-02-13 20:01:55,52.3616652
134,21.047541,4417,2024-02-13 20:10:40,52.339825
134,21.047216,4417,2024-02-13 20:12:09,52.333733
134,21.053991,4417,2024-02-13 20:03:45,52.361286
134,21.003399,4417,2024-02-13 20:56:58,52.290298
134,20.969034,4417,2024-02-13 20:50:53,52.271767
134,21.05056,4417,2024-02-13 20:16:13,52.317039
134,21.051416,4417,2024-02-13 19:20:28,52.340511
134,21.053961,4417,2024-02-13 20:05:27,52.354156
134,20.991116,4417,2024-02-13 20:26:16,52.285553
134,20.970057,4417,2024-02-13 20:28:48,52.27528
134,21.051991,4417,2024-02-13 20:17:59,52.307766
134,20.968676,4417,2024-02-13 20:53:00,52.274059
134,21.013723,4417,2024-02-13 20:58:17,52.293613
134,21.046383,4417,2024-02-13 20:19:29,52.303349
134,21.048033,4417,2024-02-13 20:13:19,52.327354
134,21.061697,4417,2024-02-13 19:36:21,52.361778
134,21.061857,4417,2024-02-13 19:46:36,52.361683
134,20.987371,4417,2024-02-13 20:55:29,52.283474
134,21.041618,4417,2024-02-13 20:19:51,52.302151
134,20.968222,4417,2024-02-13 20:46:59,52.27177
134,21.061663,4417,2024-02-13 19:35:03,52.36179
134,21.054237,4417,2024-02-13 20:07:38,52.345268
134,21.055176,4417,2024-02-13 20:09:07,52.340771
134,21.032717,4417,2024-02-13 20:20:57,52.300129
134,21.06185,4417,2024-02-13 19:43:08,52.361675
134,21.05331,4417,2024-02-13 19:26:25,52.360508
134,21.061855,4417,2024-02-13 19:48:22,52.361683
134,20.968235,4417,2024-02-13 20:43:11,52.271774
134,21.053961,4417,2024-02-13 20:05:50,52.35297
134,20.965582,4417,2024-02-13 20:29:33,52.272884
134,20.976141,4417,2024-02-13 20:53:52,52.278145
134,21.061859,4417,2024-02-13 19:50:24,52.361668
134,21.061861,4417,2024-02-13 19:48:12,52.361687
134,21.061838,4417,2024-02-13 19:44:27,52.361698
134,20.968224,4417,2024-02-13 20:47:42,52.271786
134,21.061871,4417,2024-02-13 19:51:25,52.361668
134,21.061863,4417,2024-02-13 19:46:51,52.361683
134,21.025394,4417,2024-02-13 20:21:55,52.297962
134,21.061666,4417,2024-02-13 19:39:47,52.361767
134,21.054321,4417,2024-02-13 19:26:55,52.361355
134,21.061871,4417,2024-02-13 19:47:10,52.361675
134,20.976601,4417,2024-02-13 20:27:50,52.278862
134,20.982798,4417,2024-02-13 20:55:00,52.281387
134,20.998133,4417,2024-02-13 20:25:36,52.288738
134,21.061457,4417,2024-02-13 19:30:57,52.361912
134,20.968224,4417,2024-02-13 20:39:26,52.271812
134,21.061441,4417,2024-02-13 19:29:17,52.361927
134,21.054873,4417,2024-02-13 20:06:33,52.347298
134,21.047222,4417,2024-02-13 20:11:54,52.334171
134,21.061871,4417,2024-02-13 19:46:25,52.361671
134,21.061674,4417,2024-02-13 19:39:25,52.361759
134,20.96822,4417,2024-02-13 20:48:17,52.271786
134,21.051992,4417,2024-02-13 20:18:19,52.307274
134,20.977713,4417,2024-02-13 20:54:17,52.278847
134,21.061691,4417,2024-02-13 19:36:58,52.361778
134,21.055325,4417,2024-02-13 19:21:38,52.341877
134,21.061447,4417,2024-02-13 19:29:27,52.361923
134,20.968222,4417,2024-02-13 20:48:48,52.271793
134,20.968218,4417,2024-02-13 20:41:19,52.271763
134,21.061861,4417,2024-02-13 19:52:00,52.361671
134,20.977894,4417,2024-02-13 20:54:24,52.278988
134,20.989111,4417,2024-02-13 20:55:37,52.284275
134,21.061831,4417,2024-02-13 19:44:06,52.361694
134,21.055214,4417,2024-02-13 19:21:43,52.342251
134,20.968229,4417,2024-02-13 20:43:44,52.27179
134,21.061869,4417,2024-02-13 19:45:50,52.361668
134,20.972847,4417,2024-02-13 20:53:32,52.276466
134,21.061867,4417,2024-02-13 19:48:56,52.361675
134,21.061872,4417,2024-02-13 19:45:16,52.361687
134,21.061846,4417,2024-02-13 19:57:53,52.361668
134,20.970058,4417,2024-02-13 20:53:12,52.274921
134,21.012669,4417,2024-02-13 20:23:46,52.293854
134,21.061674,4417,2024-02-13 19:35:25,52.361782
134,20.968227,4417,2024-02-13 20:40:22,52.271782
134,21.054731,4417,2024-02-13 19:24:19,52.348064
134,20.969034,4417,2024-02-13 20:50:42,52.27177
134,21.020266,4417,2024-02-13 20:22:51,52.296307
134,21.047213,4417,2024-02-13 20:11:34,52.336021
134,20.968227,4417,2024-02-13 20:42:06,52.271782
134,21.049664,4417,2024-02-13 20:10:02,52.340279
134,21.034191,4417,2024-02-13 20:20:35,52.300407
134,21.053789,4417,2024-02-13 19:26:47,52.361286
134,20.9683,4417,2024-02-13 20:50:11,52.271832
134,21.053349,4417,2024-02-13 20:04:21,52.36055
134,21.061853,4417,2024-02-13 19:59:24,52.361664
134,20.968225,4417,2024-02-13 20:46:37,52.271767
134,20.966761,4417,2024-02-13 20:29:09,52.273598
134,21.009399,4417,2024-02-13 20:24:08,52.29277
134,20.9682302,4417,2024-02-13 20:33:40,52.2718117
134,20.96822,4417,2024-02-13 20:48:38,52.27179
134,20.966545,4417,2024-02-13 20:51:37,52.270916
134,21.05479,4417,2024-02-13 19:21:05,52.340713
134,21.054502,4417,2024-02-13 20:07:48,52.344536
