Lines,Lon,VehicleNumber,Time,Lat
319,20.9973977,2019,2024-02-13 19:33:36,52.1873917
319,20.9974097,2019,2024-02-13 19:29:41,52.1874194
319,20.9974202,2019,2024-02-13 19:24:43,52.1874089
165,21.0246091,2019,2024-02-13 20:57:21,52.1792032
165,21.0235076,2019,2024-02-13 20:51:18,52.1798859
165,20.9962946,2019,2024-02-13 20:34:59,52.1881212
319,20.997393,2019,2024-02-13 19:20:43,52.187386
165,20.9963379,2019,2024-02-13 20:27:15,52.1881257
319,20.9974091,2019,2024-02-13 19:25:30,52.1874042
165,20.9963265,2019,2024-02-13 20:30:16,52.1881276
165,20.9963402,2019,2024-02-13 20:33:07,52.1881389
319,20.9973885,2019,2024-02-13 19:33:11,52.1874044
165,20.9963164,2019,2024-02-13 20:30:08,52.188126
165,20.9963146,2019,2024-02-13 20:43:37,52.1887124
319,20.9973817,2019,2024-02-13 19:26:02,52.1874151
319,20.9974067,2019,2024-02-13 19:30:46,52.1874107
319,20.9974161,2019,2024-02-13 19:31:11,52.1873984
165,21.0240165,2019,2024-02-13 20:51:51,52.1798101
165,20.9963216,2019,2024-02-13 20:36:15,52.1881224
319,20.9973914,2019,2024-02-13 19:25:50,52.18741
165,21.0057511,2019,2024-02-13 20:45:19,52.1889257
165,20.9974942,2019,2024-02-13 20:23:23,52.1874162
165,21.0242574,2019,2024-02-13 20:54:52,52.1797299
165,21.0235112,2019,2024-02-13 20:51:08,52.1798839
165,20.9974884,2019,2024-02-13 20:24:29,52.1874174
165,21.024379,2019,2024-02-13 20:56:58,52.1797692
165,21.0233785,2019,2024-02-13 20:50:56,52.1799064
319,20.997395,2019,2024-02-13 19:20:32,52.187386
165,20.996338,2019,2024-02-13 20:26:21,52.188122
165,20.9963264,2019,2024-02-13 20:28:46,52.1881315
165,21.0242635,2019,2024-02-13 20:52:58,52.1797384
165,21.0186777,2019,2024-02-13 20:58:18,52.1799996
165,20.9974526,2019,2024-02-13 20:19:30,52.1874334
165,21.0242655,2019,2024-02-13 20:55:29,52.1797457
165,20.9974537,2019,2024-02-13 20:19:53,52.1874247
165,21.0179652,2019,2024-02-13 20:46:59,52.1874267
165,20.9974852,2019,2024-02-13 20:20:58,52.1874324
319,20.9973874,2019,2024-02-13 19:26:24,52.1873959
165,20.9962897,2019,2024-02-13 20:43:13,52.1884127
165,20.9963254,2019,2024-02-13 20:29:33,52.1881357
165,21.0242787,2019,2024-02-13 20:53:55,52.1797337
165,21.0185187,2019,2024-02-13 20:47:46,52.1865014
165,20.9974497,2019,2024-02-13 20:21:55,52.1874247
319,20.9974231,2019,2024-02-13 19:26:57,52.1873769
165,20.996333,2019,2024-02-13 20:27:51,52.1881254
165,21.024258,2019,2024-02-13 20:55:04,52.1797321
165,20.99774,2019,2024-02-13 20:25:34,52.187462
319,20.9974112,2019,2024-02-13 19:30:57,52.1874006
165,20.996259,2019,2024-02-13 20:39:28,52.1881076
319,20.9973977,2019,2024-02-13 19:29:15,52.1874334
165,21.0200619,2019,2024-02-13 20:48:21,52.1838654
165,21.0242617,2019,2024-02-13 20:54:17,52.179733
319,20.997383,2019,2024-02-13 19:21:37,52.1873732
319,20.9974076,2019,2024-02-13 19:29:29,52.1874204
165,21.0207175,2019,2024-02-13 20:48:53,52.182126
165,20.9963199,2019,2024-02-13 20:41:20,52.1881209
165,21.0242624,2019,2024-02-13 20:54:28,52.1797371
165,21.0242695,2019,2024-02-13 20:55:39,52.1797489
319,20.9973784,2019,2024-02-13 19:21:50,52.1873742
165,20.9963707,2019,2024-02-13 20:43:47,52.1888315
165,21.0242854,2019,2024-02-13 20:53:33,52.1797444
165,21.024271,2019,2024-02-13 20:53:12,52.1797404
165,20.9974819,2019,2024-02-13 20:23:45,52.1874129
165,20.9963025,2019,2024-02-13 20:40:24,52.1881232
319,20.9974062,2019,2024-02-13 19:24:19,52.1873984
165,21.0228387,2019,2024-02-13 20:50:45,52.1798594
165,20.9974711,2019,2024-02-13 20:22:50,52.1874117
165,20.996317,2019,2024-02-13 20:42:06,52.188107
165,20.9974841,2019,2024-02-13 20:20:35,52.1874296
319,20.9974182,2019,2024-02-13 19:26:47,52.1873739
165,21.0222827,2019,2024-02-13 20:50:11,52.1792235
165,21.016869,2019,2024-02-13 20:46:33,52.1890882
165,20.996335,2019,2024-02-13 20:29:07,52.1881382
165,20.9974909,2019,2024-02-13 20:24:07,52.1874157
165,20.9963001,2019,2024-02-13 20:33:40,52.1881225
165,21.0202499,2019,2024-02-13 20:48:39,52.1834662
165,21.0236427,2019,2024-02-13 20:51:41,52.1798846
319,20.997396,2019,2024-02-13 19:21:04,52.187378
165,20.996309,2019,2024-02-13 20:42:39,52.188114
319,20.9974037,2019,2024-02-13 19:29:51,52.1874249
165,20.9963314,2019,2024-02-13 20:26:32,52.1881242
165,21.0099791,2019,2024-02-13 20:45:42,52.1889812
165,20.9962922,2019,2024-02-13 20:35:10,52.1881199
165,20.9963304,2019,2024-02-13 20:30:30,52.1881244
165,21.006904,2019,2024-02-13 20:45:25,52.1889369
165,21.0242769,2019,2024-02-13 20:56:34,52.179761
319,20.997393,2019,2024-02-13 19:20:54,52.187382
165,20.9962934,2019,2024-02-13 20:34:49,52.188123
165,20.997763,2019,2024-02-13 20:25:03,52.187325
165,20.996307,2019,2024-02-13 20:42:17,52.188107
165,21.0215185,2019,2024-02-13 20:50:01,52.1791714
319,20.9973817,2019,2024-02-13 19:26:14,52.1874082
165,20.9962995,2019,2024-02-13 20:34:39,52.1881249
319,20.9973934,2019,2024-02-13 19:21:27,52.1873735
165,20.9963271,2019,2024-02-13 20:28:14,52.1881237
165,20.996308,2019,2024-02-13 20:33:28,52.1881259
165,20.9963047,2019,2024-02-13 20:35:44,52.1881209
165,20.996305,2019,2024-02-13 20:42:28,52.18811
165,20.9962727,2019,2024-02-13 20:38:33,52.1881114
165,20.996334,2019,2024-02-13 20:27:04,52.188126
165,21.0210379,2019,2024-02-13 20:49:38,52.1807287
165,21.0165934,2019,2024-02-13 20:46:26,52.1890639
165,21.0010389,2019,2024-02-13 20:44:22,52.1888685
319,20.9973955,2019,2024-02-13 19:30:13,52.187436
165,20.9974764,2019,2024-02-13 20:20:25,52.1874287
165,20.996334,2019,2024-02-13 20:26:57,52.188126
165,20.9963112,2019,2024-02-13 20:42:58,52.1881432
165,20.9962574,2019,2024-02-13 20:37:45,52.1881115
165,21.0242771,2019,2024-02-13 20:53:22,52.1797439
319,20.9973955,2019,2024-02-13 19:30:25,52.1874319
165,21.0242725,2019,2024-02-13 20:52:36,52.1797456
165,21.0242614,2019,2024-02-13 20:54:40,52.1797387
165,20.9963454,2019,2024-02-13 20:31:58,52.1881349
319,20.9974042,2019,2024-02-13 19:23:36,52.1873825
165,21.0173826,2019,2024-02-13 20:46:49,52.1884239
319,20.9974286,2019,2024-02-13 19:24:55,52.1873981
165,20.9974884,2019,2024-02-13 20:24:19,52.1874174
319,20.9973959,2019,2024-02-13 19:32:51,52.1874052
165,20.9974692,2019,2024-02-13 20:20:03,52.1874261
165,20.996326,2019,2024-02-13 20:41:55,52.18811
165,20.9995384,2019,2024-02-13 20:44:11,52.1888635
319,20.997423,2019,2024-02-13 19:28:10,52.187397
319,20.997398,2019,2024-02-13 19:28:54,52.187428
319,20.9974024,2019,2024-02-13 19:21:15,52.1873717
165,20.9962541,2019,2024-02-13 20:39:18,52.1881014
165,20.9963339,2019,2024-02-13 20:31:03,52.1881179
319,20.9973999,2019,2024-02-13 19:32:37,52.1873987
165,20.9962619,2019,2024-02-13 20:38:52,52.1881025
165,21.0202684,2019,2024-02-13 20:58:08,52.1799434
165,20.997456,2019,2024-02-13 20:21:26,52.1874344
165,20.996298,2019,2024-02-13 20:33:50,52.1881225
165,20.9963329,2019,2024-02-13 20:27:41,52.1881257
319,20.9973954,2019,2024-02-13 19:32:14,52.1873962
165,20.9963052,2019,2024-02-13 20:34:27,52.1881292
165,20.9962699,2019,2024-02-13 20:38:23,52.188114
165,20.9963239,2019,2024-02-13 20:33:16,52.1881309
165,20.9963104,2019,2024-02-13 20:36:29,52.1881181
165,20.9962964,2019,2024-02-13 20:36:50,52.1881154
165,21.0242714,2019,2024-02-13 20:52:46,52.1797454
165,20.9962832,2019,2024-02-13 20:40:01,52.188117
319,20.997423,2019,2024-02-13 19:28:20,52.187393
165,20.9963234,2019,2024-02-13 20:30:53,52.1881156
165,20.997261,2019,2024-02-13 20:25:55,52.187881
165,21.0157144,2019,2024-02-13 20:58:38,52.1799619
319,20.9973939,2019,2024-02-13 19:30:01,52.1874349
319,20.9974004,2019,2024-02-13 19:31:46,52.1874057
165,20.9963401,2019,2024-02-13 20:31:11,52.1881217
165,21.0016357,2019,2024-02-13 20:44:55,52.1888747
319,20.9973794,2019,2024-02-13 19:22:00,52.1873729
165,21.020945,2019,2024-02-13 20:49:16,52.18124
165,20.9963117,2019,2024-02-13 20:29:54,52.1881236
165,21.0182697,2019,2024-02-13 20:47:34,52.1869752
165,21.0242679,2019,2024-02-13 20:56:01,52.1797464
319,20.9974046,2019,2024-02-13 19:27:48,52.1874124
165,21.0182012,2019,2024-02-13 20:47:24,52.1869855
165,21.0197692,2019,2024-02-13 20:48:08,52.1843574
319,20.9974019,2019,2024-02-13 19:30:36,52.1874214
319,20.9974027,2019,2024-02-13 19:31:35,52.1874064
165,21.0034944,2019,2024-02-13 20:45:07,52.1888994
165,20.9974479,2019,2024-02-13 20:22:05,52.1874232
165,20.9963502,2019,2024-02-13 20:32:43,52.1881369
165,20.9974752,2019,2024-02-13 20:21:08,52.1874327
165,20.9963262,2019,2024-02-13 20:28:02,52.1881244
165,21.0245857,2019,2024-02-13 20:57:33,52.1791344
165,20.9963001,2019,2024-02-13 20:35:32,52.18812
165,21.0011669,2019,2024-02-13 20:44:45,52.1888632
165,21.0242852,2019,2024-02-13 20:53:43,52.1797377
165,20.9974505,2019,2024-02-13 20:19:40,52.1874305
165,21.0190617,2019,2024-02-13 20:47:56,52.1855472
319,20.9973832,2019,2024-02-13 19:22:57,52.1873857
165,21.0242737,2019,2024-02-13 20:56:12,52.1797534
319,20.9974069,2019,2024-02-13 19:25:38,52.1873999
165,21.0248432,2019,2024-02-13 20:57:09,52.1796794
165,20.9962854,2019,2024-02-13 20:37:24,52.1881254
165,20.9974917,2019,2024-02-13 20:20:48,52.1874327
165,21.0170572,2019,2024-02-13 20:58:28,52.1800085
165,20.9963086,2019,2024-02-13 20:34:02,52.1881257
165,20.997486,2019,2024-02-13 20:23:35,52.1874142
165,20.9974849,2019,2024-02-13 20:23:02,52.1874181
319,20.9973952,2019,2024-02-13 19:33:25,52.1874011
165,20.9974449,2019,2024-02-13 20:22:16,52.1874214
165,20.997765,2019,2024-02-13 20:25:10,52.187325
319,20.997404,2019,2024-02-13 19:20:21,52.187382
319,20.9973915,2019,2024-02-13 19:33:03,52.1874034
165,21.020939,2019,2024-02-13 20:49:26,52.181229
165,20.9974915,2019,2024-02-13 20:23:14,52.1874172
165,21.0242734,2019,2024-02-13 20:56:22,52.1797572
165,20.9962624,2019,2024-02-13 20:37:57,52.1881126
165,20.9962992,2019,2024-02-13 20:37:02,52.1881224
319,20.9974265,2019,2024-02-13 19:25:06,52.1873972
165,21.0209389,2019,2024-02-13 20:49:04,52.1813017
319,20.9973949,2019,2024-02-13 19:32:04,52.1874015
165,20.9963426,2019,2024-02-13 20:31:25,52.1881301
319,20.9973966,2019,2024-02-13 19:32:26,52.1873972
